Team;Type;Rank;Date;Round;Venue;Scorer;Opponent;Start;xG;PSxG;Body Part;Distance;Minute;Score;Goalkeeper;Assist;GCA1;Type GCA1;GCA2;Type GCA2;Note;Motion
Fulham;For;12;27/11/2023;Matchweek 13;Home;Willian;Wolves;Y;0.79;0.99;Right Foot;13;59;01-janv;José Sá;;Tom Cairney;Fouled;Tom Cairney;Pass (Live);;Penalty Kick
Fulham;For;13;27/11/2023;Matchweek 13;Home;Willian;Wolves;Y;0.79;0.99;Right Foot;13;90+4;02-févr;José Sá;;Harry Wilson;Fouled;Willian;Pass (Live);;Penalty Kick
Fulham;Against;21;27/11/2023;Matchweek 13;Home;Matheus Cunha;Wolves;Y;0.13;0.67;Head;8;22;0-1;Bernd Leno;Jean-Ricner Bellegarde;Jean-Ricner Bellegarde;Pass (Live);Jean-Ricner Bellegarde;Take-On;;In Game
Fulham;Against;22;27/11/2023;Matchweek 13;Home;Hwang Hee-chan;Wolves;Y;0.79;0.93;Right Foot;13;75;01-févr;Bernd Leno;;Hwang Hee-chan;Fouled;;;;Penalty Kick
Liverpool;For;28;25/11/2023;Matchweek 13;Away;Trent Alexander-Arnold;Manchester City;Y;0.03;0.45;Right Foot;17;80;0-1;Ederson;Mohamed Salah;Mohamed Salah;Pass (Live);Luis Díaz;Pass (Live);;In Game
Liverpool;Against;11;25/11/2023;Matchweek 13;Away;Erling Haaland;Manchester City;Y;0.26;0.62;Left Foot;16;27;0-0;Alisson;Nathan Aké;Nathan Aké;Pass (Live);Nathan Aké;Take-On;;In Game
Luton Town;For;11;25/11/2023;Matchweek 13;Home;Teden Mengi;Crystal Palace;Y;0.13;0.56;Right Foot;7;72;0-0;Sam Johnstone;Carlton Morris;Carlton Morris;Shot;;;;In Game
Luton Town;For;12;25/11/2023;Matchweek 13;Home;Jacob Brown;Crystal Palace;N;0.46;0.78;Right Foot;5;83;01-janv;Sam Johnstone;Chiedozie Ogbene;Chiedozie Ogbene;Pass (Live);Ross Barkley;Pass (Live);;In Game
Luton Town;Against;23;25/11/2023;Matchweek 13;Home;Michael Olise;Crystal Palace;Y;0.05;0.64;Left Foot;18;74;0-1;Thomas Kaminski;Joel Ward;Michael Olise;Take-On;Joel Ward;Pass (Live);;In Game
Manchester City;For;33;25/11/2023;Matchweek 13;Home;Erling Haaland;Liverpool;Y;0.26;0.62;Left Foot;16;27;0-0;Alisson;Nathan Aké;Nathan Aké;Pass (Live);Nathan Aké;Take-On;;In Game
Manchester City;Against;13;25/11/2023;Matchweek 13;Home;Trent Alexander-Arnold;Liverpool;Y;0.03;0.45;Right Foot;17;80;0-1;Ederson;Mohamed Salah;Mohamed Salah;Pass (Live);Luis Díaz;Pass (Live);;In Game
Manchester Utd;For;14;26/11/2023;Matchweek 13;Away;Alejandro Garnacho;Everton;Y;0.08;0.44;Right Foot;15;3;0-0;Jordan Pickford;Diogo Dalot;Diogo Dalot;Pass (Live);Marcus Rashford;Pass (Live);Volley;In Game
Manchester Utd;For;15;26/11/2023;Matchweek 13;Away;Marcus Rashford;Everton;Y;0.79;0.99;Right Foot;13;56;1-0;Jordan Pickford;;Anthony Martial;Fouled;Bruno Fernandes;Pass (Live);;Penalty Kick
Manchester Utd;For;16;26/11/2023;Matchweek 13;Away;Anthony Martial;Everton;Y;0.79;0.96;Right Foot;11;75;2-0;Jordan Pickford;Bruno Fernandes;Bruno Fernandes;Pass (Live);Facundo Pellistri;Pass (Live);;In Game
Newcastle Utd;For;28;25/11/2023;Matchweek 13;Home;Alexander Isak;Chelsea;Y;0.64;0.56;Right Foot;12;13;0-0;Robert Sánchez;Lewis Miley;Lewis Miley;Pass (Live);Anthony Gordon;Pass (Live);;In Game
Newcastle Utd;For;29;25/11/2023;Matchweek 13;Home;Jamaal Lascelles;Chelsea;Y*;0.30;0.36;Head;9;60;01-janv;Robert Sánchez;Anthony Gordon;Anthony Gordon;Pass (Live);Joelinton;Pass (Live);;In Game
Newcastle Utd;For;30;25/11/2023;Matchweek 13;Home;Joelinton;Chelsea;Y;0.54;0.80;Right Foot;11;61;02-janv;Robert Sánchez;;;;;;;In Game
Newcastle Utd;For;31;25/11/2023;Matchweek 13;Home;Anthony Gordon;Chelsea;Y;0.10;0.42;Right Foot;12;83;03-janv;Robert Sánchez;Miguel Almirón;Miguel Almirón;Pass (Live);Valentino Livramento;Pass (Live);;In Game
Newcastle Utd;Against;14;25/11/2023;Matchweek 13;Home;Raheem Sterling;Chelsea;Y;0.11;0.55;Right Foot;24;23;0-1;Nick Pope;;Raheem Sterling;Fouled;Enzo Fernández;Pass (Live);Free Kick;Free Kick
Nott'ham Forest;For;15;25/11/2023;Matchweek 13;Home;Anthony Elanga;Brighton;Y;0.08;0.35;Head;9;3;0-0;Bart Verbruggen;Morgan Gibbs-White;Morgan Gibbs-White;Pass (Live);Orel Mangala;Interception;;In Game
Nott'ham Forest;For;16;25/11/2023;Matchweek 13;Home;Morgan Gibbs-White;Brighton;Y*;0.79;0.99;Right Foot;13;76;01-mars;Bart Verbruggen;;Callum Hudson-Odoi;Fouled;Harry Toffolo;Pass (Live);;Penalty Kick
Nott'ham Forest;Against;19;25/11/2023;Matchweek 13;Home;Evan Ferguson;Brighton;Y;0.09;0.44;Right Foot;17;26;0-1;Odisseas Vlachodimos;Pascal Groß;Pascal Groß;Pass (Live);Billy Gilmour;Pass (Live);;In Game
Nott'ham Forest;Against;20;25/11/2023;Matchweek 13;Home;João Pedro;Brighton;N;0.03;0.30;Head;14;45+4;01-janv;Odisseas Vlachodimos;Pascal Groß;Pascal Groß;Pass (Live);Jan Paul van Hecke;Pass (Live);;In Game
Nott'ham Forest;Against;21;25/11/2023;Matchweek 13;Home;João Pedro;Brighton;N;0.79;0.98;Right Foot;13;58;02-janv;Odisseas Vlachodimos;;João Pedro;Fouled;Lewis Dunk;Pass (Live);;Penalty Kick
Sheffield Utd;For;11;25/11/2023;Matchweek 13;Home;Oliver McBurnie;Bournemouth;N;0.32;0.66;Head;8;90+7;0-3;Neto;George Baldock;George Baldock;Pass (Live);Oliver Norwood;Pass (Live);;In Game
Sheffield Utd;Against;32;25/11/2023;Matchweek 13;Home;Marcus Tavernier;Bournemouth;Y;0.53;0.50;Left Foot;11;12;0-0;Wes Foderingham;Antoine Semenyo;Antoine Semenyo;Pass (Live);Adam Smith;Pass (Live);;In Game
Sheffield Utd;Against;33;25/11/2023;Matchweek 13;Home;Justin Kluivert;Bournemouth;Y;0.12;0.83;Right Foot;18;45+3;1-0;Wes Foderingham;;Justin Kluivert;Tackle;;;;In Game
Sheffield Utd;Against;34;25/11/2023;Matchweek 13;Home;Marcus Tavernier;Bournemouth;Y;0.38;0.83;Left Foot;6;51;2-0;Wes Foderingham;Adam Smith;Adam Smith;Pass (Live);Antoine Semenyo;Pass (Live);;In Game
Tottenham;For;25;26/11/2023;Matchweek 13;Home;Giovani Lo Celso;Aston Villa;Y;0.05;0.05;Left Foot;18;22;0-0;Emiliano Martínez;Pedro Porro;Pedro Porro;Pass (Dead);Giovani Lo Celso;Pass (Live);Deflected;Set Piece
Tottenham;Against;16;26/11/2023;Matchweek 13;Home;Pau Torres;Aston Villa;Y;0.16;0.39;Head;11;45+7;0-1;Guglielmo Vicario;Douglas Luiz;Douglas Luiz;Pass (Dead);Matty Cash;Fouled;;Set Piece
Tottenham;Against;17;26/11/2023;Matchweek 13;Home;Ollie Watkins;Aston Villa;Y;0.09;0.17;Right Foot;17;61;01-janv;Guglielmo Vicario;Youri Tielemans;Youri Tielemans;Pass (Live);Ollie Watkins;Pass (Live);;In Game
West Ham;For;22;25/11/2023;Matchweek 13;Away;Dara O'Shea (OG);Burnley;Y;;;;;86;0-1;James Trafford;;;;;;Own Goal;In Game
West Ham;For;23;25/11/2023;Matchweek 13;Away;Tomáš Souček;Burnley;Y;0.42;0.48;Right Foot;4;90+1;01-janv;James Trafford;Kudus Mohammed;Kudus Mohammed;Pass (Live);James Ward-Prowse;Pass (Live);Volley;In Game
