Team;Type;Rank;Date;Round;Venue;Scorer;Opponent;Start;xG;PSxG;Body Part;Distance;Minute;Score;Goalkeeper;Assist;GCA1;Type GCA1;GCA2;Type GCA2;Note;Motion
Luton Town;For;38;09/03/2024;Matchweek 28;Away;Cauley Woodrow;Crystal Palace;N;0.08;0.35;Head;11;90+6;0-1;Sam Johnstone;Andros Townsend;Andros Townsend;Pass (Live);Cauley Woodrow;Pass (Live);;In Game
Luton Town;Against;55;09/03/2024;Matchweek 28;Away;Jean-Philippe Mateta;Crystal Palace;Y;0.15;0.80;Right Foot;6;11;0-0;Thomas Kaminski;Daniel Muñoz;Daniel Muñoz;Pass (Live);Daniel Muñoz;Take-On;;In Game
Manchester City;For;63;10/03/2024;Matchweek 28;Away;John Stones;Liverpool;Y;0.83;0.97;Right Foot;2;23;0-0;Caoimhín Kelleher;Kevin De Bruyne;Kevin De Bruyne;Pass (Dead);Julián Álvarez;Pass (Live);;Set Piece
Manchester City;Against;28;10/03/2024;Matchweek 28;Away;Alexis Mac Allister;Liverpool;Y;0.79;0.99;Right Foot;13;50;0-1;Ederson;;Darwin Núñez;Fouled;;;;Penalty Kick
Manchester Utd;For;38;09/03/2024;Matchweek 28;Home;Bruno Fernandes;Everton;Y*;0.79;0.99;Right Foot;13;12;0-0;Jordan Pickford;;Alejandro Garnacho;Fouled;Marcus Rashford;Pass (Live);;Penalty Kick
Manchester Utd;For;39;09/03/2024;Matchweek 28;Home;Marcus Rashford;Everton;Y;0.79;0.98;Right Foot;13;36;1-0;Jordan Pickford;;Alejandro Garnacho;Fouled;Alejandro Garnacho;Take-On;;Penalty Kick
Newcastle Utd;For;58;11/03/2024;Matchweek 28;Away;Alexander Isak;Chelsea;Y;0.04;0.33;Right Foot;21;43;0-1;Đorđe Petrović;Bruno Guimarães;Bruno Guimarães;Pass (Live);;;;In Game
Newcastle Utd;For;59;11/03/2024;Matchweek 28;Away;Jacob Murphy;Chelsea;N;0.06;0.21;Right Foot;18;90;01-mars;Đorđe Petrović;Lewis Miley;Sean Longstaff;Pass (Live);Emil Krafth;Pass (Live);;In Game
Newcastle Utd;Against;46;11/03/2024;Matchweek 28;Away;Nicolas Jackson;Chelsea;Y;0.29;0.33;Right Foot;10;6;0-0;Martin Dúbravka;Cole Palmer;Cole Palmer;Shot;;;;In Game
Newcastle Utd;Against;47;11/03/2024;Matchweek 28;Away;Cole Palmer;Chelsea;Y;0.05;0.13;Left Foot;22;57;01-janv;Martin Dúbravka;Enzo Fernández;Enzo Fernández;Pass (Live);Moisés Caicedo;Pass (Live);;In Game
Newcastle Utd;Against;48;11/03/2024;Matchweek 28;Away;Mykhailo Mudryk;Chelsea;N;0.76;0.84;Right Foot;3;76;02-janv;Martin Dúbravka;Conor Gallagher;Mykhailo Mudryk;Take-On;Mykhailo Mudryk;Take-On;Deflected;In Game
Nott'ham Forest;Against;50;10/03/2024;Matchweek 28;Away;Andrew Omobamidele (OG);Brighton;Y;;;;;29;0-0;Matz Sels;;;;;;Own Goal;In Game
Sheffield Utd;For;23;09/03/2024;Matchweek 28;Away;Gustavo Hamer;Bournemouth;Y;0.24;0.72;Right Foot;10;27;0-0;Neto;;Jayden Bogle;Shot;;;;In Game
Sheffield Utd;For;24;09/03/2024;Matchweek 28;Away;Jack Robinson;Bournemouth;Y*;0.24;0.85;Left Foot;4;64;1-0;Neto;;Oliver Arblaster;Shot;;;Volley;In Game
Sheffield Utd;Against;73;09/03/2024;Matchweek 28;Away;Dango Ouattara;Bournemouth;N;0.39;0.22;Head;3;74;0-2;Ivo Grbić;Ryan Christie;Ryan Christie;Pass (Dead);;;;Set Piece
Sheffield Utd;Against;74;09/03/2024;Matchweek 28;Away;Enes Ünal;Bournemouth;N;0.28;0.47;Right Foot;7;90+1;01-févr;Ivo Grbić;Dango Ouattara;Dango Ouattara;Pass (Live);Chris Mepham;Pass (Live);Volley;In Game
Tottenham;For;56;10/03/2024;Matchweek 28;Away;James Maddison;Aston Villa;Y;0.60;0.94;Left Foot;5;50;0-0;Emiliano Martínez;Pape Matar Sarr;Pape Matar Sarr;Pass (Live);Pedro Porro;Pass (Live);Volley;In Game
Tottenham;For;57;10/03/2024;Matchweek 28;Away;Brennan Johnson;Aston Villa;Y;0.24;0.37;Right Foot;12;53;1-0;Emiliano Martínez;Son Heung-min;Son Heung-min;Pass (Live);Dejan Kulusevski;Interception;;In Game
Tottenham;For;58;10/03/2024;Matchweek 28;Away;Son Heung-min;Aston Villa;Y*;0.19;0.43;Right Foot;15;90+1;2-0;Emiliano Martínez;Dejan Kulusevski;Dejan Kulusevski;Pass (Live);Dejan Kulusevski;Pass (Live);;In Game
Tottenham;For;59;10/03/2024;Matchweek 28;Away;Timo Werner;Aston Villa;N;0.22;0.86;Right Foot;12;90+4;3-0;Emiliano Martínez;Son Heung-min;Son Heung-min;Pass (Live);Rodrigo Bentancur;Pass (Live);;In Game
West Ham;For;44;10/03/2024;Matchweek 28;Home;Lucas Paquetá;Burnley;Y;0.53;0.69;Left Foot;16;46;0-2;James Trafford;;Lucas Paquetá;Take-On;;;;In Game
West Ham;For;45;10/03/2024;Matchweek 28;Home;Danny Ings;Burnley;N;0.13;0.05;Right Foot;9;90+1;01-févr;James Trafford;;Kudus Mohammed;Take-On;Aaron Cresswell;Pass (Live);Volley;In Game
West Ham;Against;48;10/03/2024;Matchweek 28;Home;David Datro Fofana;Burnley;Y;0.03;0.31;Right Foot;31;11;0-0;Alphonse Areola;;David Datro Fofana;Take-On;Sander Berge;Pass (Live);;In Game
West Ham;Against;49;10/03/2024;Matchweek 28;Home;Konstantinos Mavropanos (OG);Burnley;Y;;;;;45+1;1-0;Alphonse Areola;;;;;;Own Goal;In Game
Wolves;For;41;09/03/2024;Matchweek 28;Home;Rayan Aït-Nouri;Fulham;Y;0.23;0.23;Right Foot;6;52;0-0;Bernd Leno;Toti Gomes;Toti Gomes;Pass (Live);Mario Lemina;Fouled;;In Game
Wolves;For;42;09/03/2024;Matchweek 28;Home;Tom Cairney (OG);Fulham;N;;;;;67;1-0;Bernd Leno;;;;;;Own Goal;In Game
Wolves;Against;44;09/03/2024;Matchweek 28;Home;Alex Iwobi;Fulham;Y;0.40;0.92;Right Foot;4;90+8;0-2;José Sá;Armando Broja;Antonee Robinson;Pass (Live);Willian;Pass (Live);Volley;In Game
Aston Villa;For;60;17/03/2024;Matchweek 29;Away;Nicolò Zaniolo;West Ham;N;0.18;0.74;Left Foot;10;79;0-1;Alphonse Areola;Moussa Diaby;Moussa Diaby;Pass (Live);Youri Tielemans;Pass (Live);;In Game
Aston Villa;Against;42;17/03/2024;Matchweek 29;Away;Michail Antonio;West Ham;Y;0.23;0.69;Head;8;29;0-0;Emiliano Martínez;Vladimír Coufal;Vladimír Coufal;Pass (Live);Tomáš Souček;Pass (Live);;In Game
Brentford;For;41;16/03/2024;Matchweek 29;Away;Kristoffer Ajer;Burnley;Y;0.06;0.51;Head;12;83;0-2;Arijanet Muric;Shandon Baptiste;Shandon Baptiste;Pass (Live);Bryan Mbeumo;Pass (Live);;In Game
Brentford;Against;53;16/03/2024;Matchweek 29;Away;Jacob Bruun Larsen;Burnley;Y;0.79;0.99;Right Foot;13;10;0-0;Mark Flekken;;Vitinho;Fouled;Josh Cullen;Pass (Live);;Penalty Kick
Brentford;Against;54;16/03/2024;Matchweek 29;Away;David Datro Fofana;Burnley;Y;0.13;0.68;Right Foot;13;62;1-0;Mark Flekken;Wilson Odobert;Wilson Odobert;Pass (Live);Sander Berge;Pass (Live);;In Game
Burnley;For;28;16/03/2024;Matchweek 29;Home;Jacob Bruun Larsen;Brentford;Y;0.79;0.99;Right Foot;13;10;0-0;Mark Flekken;;Vitinho;Fouled;Josh Cullen;Pass (Live);;Penalty Kick
Burnley;For;29;16/03/2024;Matchweek 29;Home;David Datro Fofana;Brentford;Y;0.13;0.68;Right Foot;13;62;1-0;Mark Flekken;Wilson Odobert;Wilson Odobert;Pass (Live);Sander Berge;Pass (Live);;In Game
Burnley;Against;63;16/03/2024;Matchweek 29;Home;Kristoffer Ajer;Brentford;Y;0.06;0.51;Head;12;83;0-2;Arijanet Muric;Shandon Baptiste;Shandon Baptiste;Pass (Live);Bryan Mbeumo;Pass (Live);;In Game
Fulham;For;41;16/03/2024;Matchweek 29;Home;Rodrigo Muniz;Tottenham;Y;0.40;0.57;Right Foot;10;42;0-0;Guglielmo Vicario;Antonee Robinson;Antonee Robinson;Pass (Live);Andreas Pereira;Pass (Live);;In Game
Fulham;For;42;16/03/2024;Matchweek 29;Home;Saša Lukić;Tottenham;Y;0.32;0.44;Left Foot;8;49;1-0;Guglielmo Vicario;Timothy Castagne;Timothy Castagne;Pass (Live);Alex Iwobi;Pass (Live);;In Game
Fulham;For;43;16/03/2024;Matchweek 29;Home;Rodrigo Muniz;Tottenham;Y;0.96;0.99;Right Foot;2;61;2-0;Guglielmo Vicario;;Calvin Bassey;Shot;;;;In Game
Luton Town;For;42;16/03/2024;Matchweek 29;Home;Luke Berry;Nott'ham Forest;N;0.23;0.21;Left Foot;4;89;0-1;Matz Sels;Reece Burke;Reece Burke;Pass (Live);Ross Barkley;Pass (Dead);;Set Piece
Luton Town;Against;60;16/03/2024;Matchweek 29;Home;Chris Wood;Nott'ham Forest;Y;0.49;0.61;Right Foot;7;34;0-0;Thomas Kaminski;Morgan Gibbs-White;Morgan Gibbs-White;Pass (Live);Neco Williams;Pass (Live);Volley;In Game
Nott'ham Forest;For;35;16/03/2024;Matchweek 29;Away;Chris Wood;Luton Town;Y;0.49;0.61;Right Foot;7;34;0-0;Thomas Kaminski;Morgan Gibbs-White;Morgan Gibbs-White;Pass (Live);Neco Williams;Pass (Live);Volley;In Game
Nott'ham Forest;Against;51;16/03/2024;Matchweek 29;Away;Luke Berry;Luton Town;N;0.23;0.21;Left Foot;4;89;0-1;Matz Sels;Reece Burke;Reece Burke;Pass (Live);Ross Barkley;Pass (Dead);;Set Piece
Tottenham;Against;40;16/03/2024;Matchweek 29;Away;Rodrigo Muniz;Fulham;Y;0.40;0.57;Right Foot;10;42;0-0;Guglielmo Vicario;Antonee Robinson;Antonee Robinson;Pass (Live);Andreas Pereira;Pass (Live);;In Game
Tottenham;Against;41;16/03/2024;Matchweek 29;Away;Saša Lukić;Fulham;Y;0.32;0.44;Left Foot;8;49;1-0;Guglielmo Vicario;Timothy Castagne;Timothy Castagne;Pass (Live);Alex Iwobi;Pass (Live);;In Game
Tottenham;Against;42;16/03/2024;Matchweek 29;Away;Rodrigo Muniz;Fulham;Y;0.96;0.99;Right Foot;2;61;2-0;Guglielmo Vicario;;Calvin Bassey;Shot;;;;In Game
West Ham;For;46;17/03/2024;Matchweek 29;Home;Michail Antonio;Aston Villa;Y;0.23;0.69;Head;8;29;0-0;Emiliano Martínez;Vladimír Coufal;Vladimír Coufal;Pass (Live);Tomáš Souček;Pass (Live);;In Game
West Ham;Against;50;17/03/2024;Matchweek 29;Home;Nicolò Zaniolo;Aston Villa;N;0.18;0.74;Left Foot;10;79;0-1;Alphonse Areola;Moussa Diaby;Moussa Diaby;Pass (Live);Youri Tielemans;Pass (Live);;In Game
Arsenal;For;5;26/08/2023;Matchweek 3;Home;Bukayo Saka;Fulham;Y;0.79;0.99;Left Foot;13;70;0-1;Bernd Leno;;Fabio Vieira;Fouled;Martinelli;Pass (Live);;Penalty Kick
Arsenal;For;6;26/08/2023;Matchweek 3;Home;Eddie Nketiah;Fulham;N;0.25;0.36;Right Foot;11;72;01-janv;Bernd Leno;Fabio Vieira;Bukayo Saka;Pass (Live);;;;In Game
Arsenal;Against;3;26/08/2023;Matchweek 3;Home;Andreas Pereira;Fulham;Y;0.03;0.06;Right Foot;30;01-janv;0-0;Aaron Ramsdale;;;;;;;In Game
Arsenal;Against;4;26/08/2023;Matchweek 3;Home;João Palhinha;Fulham;Y;0.11;0.31;Right Foot;10;87;01-févr;Aaron Ramsdale;Harrison Reed;Harrison Reed;Pass (Dead);;;;Set Piece
Aston Villa;For;6;27/08/2023;Matchweek 3;Away;Matty Cash;Burnley;Y;0.84;0.99;Right Foot;2;8;0-0;James Trafford;Ollie Watkins;Ollie Watkins;Shot;;;;In Game
Aston Villa;For;7;27/08/2023;Matchweek 3;Away;Matty Cash;Burnley;Y;0.30;0.65;Right Foot;11;20;1-0;James Trafford;Moussa Diaby;Moussa Diaby;Pass (Live);Matty Cash;Pass (Live);;In Game
Aston Villa;For;8;27/08/2023;Matchweek 3;Away;Moussa Diaby;Burnley;Y;0.09;0.42;Left Foot;20;61;02-janv;James Trafford;Lucas Digne;Lucas Digne;Pass (Live);John McGinn;Pass (Live);;In Game
Aston Villa;Against;6;27/08/2023;Matchweek 3;Away;Lyle Foster;Burnley;Y;0.09;0.18;Left Foot;10;47;0-2;Robin Olsen;Jóhann Berg Guðmundsson;Jóhann Berg Guðmundsson;Pass (Live);Connor Roberts;Pass (Live);Volley;In Game
Bournemouth;Against;5;26/08/2023;Matchweek 3;Home;James Maddison;Tottenham;Y;0.60;0.92;Right Foot;9;17;0-0;Neto;Pape Matar Sarr;Pape Matar Sarr;Pass (Live);Yves Bissouma;Pass (Live);;In Game
Bournemouth;Against;6;26/08/2023;Matchweek 3;Home;Dejan Kulusevski;Tottenham;Y;0.33;0.97;Left Foot;4;63;1-0;Neto;Destiny Udogie;Destiny Udogie;Pass (Live);Son Heung-min;Pass (Live);;In Game
Brentford;For;6;26/08/2023;Matchweek 3;Home;Kevin Schade;Crystal Palace;Y;0.05;0.56;Right Foot;12;18;0-0;Sam Johnstone;Christian Nørgaard;Christian Nørgaard;Pass (Live);Nathan Collins;Pass (Live);;In Game
Brentford;Against;3;26/08/2023;Matchweek 3;Home;Joachim Andersen;Crystal Palace;Y;0.05;0.06;Right Foot;8;76;0-1;Mark Flekken;Jordan Ayew;Jordan Ayew;Pass (Live);Joachim Andersen;Pass (Live);;In Game
Brighton;For;9;26/08/2023;Matchweek 3;Home;Pascal Groß;West Ham;Y;0.02;0.25;Right Foot;25;81;0-3;Alphonse Areola;Joël Veltman;Pascal Groß;Take-On;Joël Veltman;Pass (Live);;In Game
Brighton;Against;3;26/08/2023;Matchweek 3;Home;James Ward-Prowse;West Ham;Y;0.64;0.97;Right Foot;3;19;0-0;Bart Verbruggen;;James Ward-Prowse;Shot;;;;In Game
Brighton;Against;4;26/08/2023;Matchweek 3;Home;Jarrod Bowen;West Ham;Y;0.58;0.98;Left Foot;7;58;1-0;Bart Verbruggen;Saïd Benrahma;Saïd Benrahma;Pass (Live);Michail Antonio;Pass (Live);;In Game
Brighton;Against;5;26/08/2023;Matchweek 3;Home;Michail Antonio;West Ham;Y;0.08;0.58;Right Foot;12;63;2-0;Bart Verbruggen;Jarrod Bowen;Michail Antonio;Take-On;Jarrod Bowen;Pass (Live);;In Game
Burnley;For;1;27/08/2023;Matchweek 3;Home;Lyle Foster;Aston Villa;Y;0.09;0.18;Left Foot;10;47;0-2;Robin Olsen;Jóhann Berg Guðmundsson;Jóhann Berg Guðmundsson;Pass (Live);Connor Roberts;Pass (Live);Volley;In Game
Burnley;Against;4;27/08/2023;Matchweek 3;Home;Matty Cash;Aston Villa;Y;0.84;0.99;Right Foot;2;8;0-0;James Trafford;Ollie Watkins;Ollie Watkins;Shot;;;;In Game
Burnley;Against;5;27/08/2023;Matchweek 3;Home;Matty Cash;Aston Villa;Y;0.30;0.65;Right Foot;11;20;1-0;James Trafford;Moussa Diaby;Moussa Diaby;Pass (Live);Matty Cash;Pass (Live);;In Game
Burnley;Against;6;27/08/2023;Matchweek 3;Home;Moussa Diaby;Aston Villa;Y;0.09;0.42;Left Foot;20;61;02-janv;James Trafford;Lucas Digne;Lucas Digne;Pass (Live);John McGinn;Pass (Live);;In Game
Chelsea;For;3;25/08/2023;Matchweek 3;Home;Raheem Sterling;Luton Town;Y;0.08;0.55;Left Foot;10;17;0-0;Thomas Kaminski;Malo Gusto;Raheem Sterling;Take-On;Malo Gusto;Pass (Live);;In Game
Chelsea;For;4;25/08/2023;Matchweek 3;Home;Raheem Sterling;Luton Town;Y;0.28;0.64;Right Foot;10;68;1-0;Thomas Kaminski;Malo Gusto;Malo Gusto;Pass (Live);Moisés Caicedo;Pass (Live);;In Game
Chelsea;For;5;25/08/2023;Matchweek 3;Home;Nicolas Jackson;Luton Town;Y;0.46;0.97;Right Foot;5;75;2-0;Thomas Kaminski;;Enzo Fernández;Pass (Live);Thiago Silva;Pass (Live);;In Game
Crystal Palace;For;2;26/08/2023;Matchweek 3;Away;Joachim Andersen;Brentford;Y;0.05;0.06;Right Foot;8;76;0-1;Mark Flekken;Jordan Ayew;Jordan Ayew;Pass (Live);Joachim Andersen;Pass (Live);;In Game
Crystal Palace;Against;2;26/08/2023;Matchweek 3;Away;Kevin Schade;Brentford;Y;0.05;0.56;Right Foot;12;18;0-0;Sam Johnstone;Christian Nørgaard;Christian Nørgaard;Pass (Live);Nathan Collins;Pass (Live);;In Game
Everton;Against;6;26/08/2023;Matchweek 3;Home;Sasa Kalajdzic;Wolves;N;0.26;0.93;Other;6;87;0-0;Jordan Pickford;Pedro Neto;Pedro Neto;Pass (Live);Mario Lemina;Pass (Live);;In Game
Fulham;For;2;26/08/2023;Matchweek 3;Away;Andreas Pereira;Arsenal;Y;0.03;0.06;Right Foot;30;1;0-0;Aaron Ramsdale;;;;;;;In Game
Fulham;For;3;26/08/2023;Matchweek 3;Away;João Palhinha;Arsenal;Y;0.11;0.31;Right Foot;10;87;01-févr;Aaron Ramsdale;Harrison Reed;Harrison Reed;Pass (Dead);;;Volley;Set Piece
Fulham;Against;4;26/08/2023;Matchweek 3;Away;Bukayo Saka;Arsenal;Y;0.79;0.99;Left Foot;13;70;0-1;Bernd Leno;;Fabio Vieira;Fouled;Martinelli;Pass (Live);;Penalty Kick
Fulham;Against;5;26/08/2023;Matchweek 3;Away;Eddie Nketiah;Arsenal;N;0.25;0.36;Right Foot;11;72;01-janv;Bernd Leno;Fabio Vieira;Bukayo Saka;Pass (Live);;;;In Game
Liverpool;For;5;27/08/2023;Matchweek 3;Away;Darwin Núñez;Newcastle Utd;N;0.07;0.68;Right Foot;18;81;0-1;Nick Pope;;Mohamed Salah;Pass (Live);Trent Alexander-Arnold;Pass (Live);;In Game
Liverpool;For;6;27/08/2023;Matchweek 3;Away;Darwin Núñez;Newcastle Utd;N;0.45;0.84;Right Foot;14;90+3;01-janv;Nick Pope;Mohamed Salah;Mohamed Salah;Pass (Live);;;;In Game
Liverpool;Against;3;27/08/2023;Matchweek 3;Away;Anthony Gordon;Newcastle Utd;Y;0.45;0.25;Right Foot;16;25;0-0;Alisson;;;;;;;In Game
Luton Town;Against;5;25/08/2023;Matchweek 3;Away;Raheem Sterling;Chelsea;Y;0.08;0.55;Left Foot;10;17;0-0;Thomas Kaminski;Malo Gusto;Raheem Sterling;Take-On;Malo Gusto;Pass (Live);;In Game
Luton Town;Against;6;25/08/2023;Matchweek 3;Away;Raheem Sterling;Chelsea;Y;0.28;0.64;Right Foot;10;68;1-0;Thomas Kaminski;Malo Gusto;Malo Gusto;Pass (Live);Moisés Caicedo;Pass (Live);;In Game
Luton Town;Against;7;25/08/2023;Matchweek 3;Away;Nicolas Jackson;Chelsea;Y;0.46;0.97;Right Foot;5;75;2-0;Thomas Kaminski;;Enzo Fernández;Pass (Live);Thiago Silva;Pass (Live);;In Game
Manchester City;For;5;27/08/2023;Matchweek 3;Away;Erling Haaland;Sheffield Utd;Y;0.21;0.45;Head;4;63;0-0;Wes Foderingham;Jack Grealish;Jack Grealish;Pass (Live);Mateo Kovačić;Pass (Live);;In Game
Manchester City;For;6;27/08/2023;Matchweek 3;Away;Rodri;Sheffield Utd;Y;0.13;0.32;Left Foot;13;88;01-janv;Wes Foderingham;Phil Foden;Kyle Walker;Pass (Live);Erling Haaland;Shot;;In Game
Manchester City;Against;1;27/08/2023;Matchweek 3;Away;Jayden Bogle;Sheffield Utd;N;0.14;0.48;Right Foot;13;85;0-1;Ederson;;Bénie Adama Traore;Pass (Live);;;;In Game
Manchester Utd;For;2;26/08/2023;Matchweek 3;Home;Christian Eriksen;Nott'ham Forest;Y;0.28;0.95;Right Foot;3;17;0-2;Matt Turner;Marcus Rashford;Marcus Rashford;Pass (Live);Marcus Rashford;Take-On;;In Game
Manchester Utd;For;3;26/08/2023;Matchweek 3;Home;Casemiro;Nott'ham Forest;Y;0.30;0.93;Right Foot;5;52;01-févr;Matt Turner;Bruno Fernandes;Bruno Fernandes;Pass (Live);Marcus Rashford;Pass (Live);Volley;In Game
Manchester Utd;For;4;26/08/2023;Matchweek 3;Home;Bruno Fernandes;Nott'ham Forest;Y*;0.79;0.98;Right Foot;13;76;02-févr;Matt Turner;;Marcus Rashford;Fouled;Jadon Sancho;Pass (Dead);;Penalty Kick
Manchester Utd;Against;3;26/08/2023;Matchweek 3;Home;Taiwo Awoniyi;Nott'ham Forest;Y;0.56;0.98;Right Foot;10;2;0-0;André Onana;Morgan Gibbs-White;Taiwo Awoniyi;Take-On;Morgan Gibbs-White;Pass (Live);;In Game
Manchester Utd;Against;4;26/08/2023;Matchweek 3;Home;Willy Boly;Nott'ham Forest;Y;0.17;0.55;Head;7;4;1-0;André Onana;;Morgan Gibbs-White;Pass (Dead);Brennan Johnson;Fouled;;Set Piece
Newcastle Utd;For;6;27/08/2023;Matchweek 3;Home;Anthony Gordon;Liverpool;Y;0.45;0.25;Right Foot;16;25;0-0;Alisson;;;;;;;In Game
Newcastle Utd;Against;3;27/08/2023;Matchweek 3;Home;Darwin Núñez;Liverpool;N;0.07;0.68;Right Foot;18;81;0-1;Nick Pope;;Mohamed Salah;Pass (Live);Trent Alexander-Arnold;Pass (Live);;In Game
Newcastle Utd;Against;4;27/08/2023;Matchweek 3;Home;Darwin Núñez;Liverpool;N;0.45;0.84;Right Foot;14;90+3;01-janv;Nick Pope;Mohamed Salah;Mohamed Salah;Pass (Live);;;;In Game
Nott'ham Forest;For;4;26/08/2023;Matchweek 3;Away;Taiwo Awoniyi;Manchester Utd;Y;0.56;0.98;Right Foot;10;2;0-0;André Onana;Morgan Gibbs-White;Taiwo Awoniyi;Take-On;Morgan Gibbs-White;Pass (Live);;In Game
Nott'ham Forest;For;5;26/08/2023;Matchweek 3;Away;Willy Boly;Manchester Utd;Y;0.17;0.55;Head;7;4;1-0;André Onana;;Morgan Gibbs-White;Pass (Dead);Brennan Johnson;Fouled;;Set Piece
Nott'ham Forest;Against;4;26/08/2023;Matchweek 3;Away;Christian Eriksen;Manchester Utd;Y;0.28;0.95;Right Foot;3;17;0-2;Matt Turner;Marcus Rashford;Marcus Rashford;Pass (Live);Marcus Rashford;Take-On;;In Game
Nott'ham Forest;Against;5;26/08/2023;Matchweek 3;Away;Casemiro;Manchester Utd;Y;0.30;0.93;Right Foot;5;52;01-févr;Matt Turner;Bruno Fernandes;Bruno Fernandes;Pass (Live);Marcus Rashford;Pass (Live);Volley;In Game
Nott'ham Forest;Against;6;26/08/2023;Matchweek 3;Away;Bruno Fernandes;Manchester Utd;Y*;0.79;0.98;Right Foot;13;76;02-févr;Matt Turner;;Marcus Rashford;Fouled;Jadon Sancho;Pass (Dead);;Penalty Kick
Sheffield Utd;For;2;27/08/2023;Matchweek 3;Home;Jayden Bogle;Manchester City;N;0.14;0.48;Right Foot;13;85;0-1;Ederson;;Bénie Adama Traore;Pass (Live);;;;In Game
Sheffield Utd;Against;4;27/08/2023;Matchweek 3;Home;Erling Haaland;Manchester City;Y;0.21;0.45;Head;4;63;0-0;Wes Foderingham;Jack Grealish;Jack Grealish;Pass (Live);Mateo Kovačić;Pass (Live);;In Game
Sheffield Utd;Against;5;27/08/2023;Matchweek 3;Home;Rodri;Manchester City;Y;0.13;0.32;Left Foot;13;88;01-janv;Wes Foderingham;Phil Foden;Kyle Walker;Pass (Live);Erling Haaland;Shot;;In Game
Tottenham;For;5;26/08/2023;Matchweek 3;Away;James Maddison;Bournemouth;Y;0.60;0.92;Right Foot;9;17;0-0;Neto;Pape Matar Sarr;Pape Matar Sarr;Pass (Live);Yves Bissouma;Pass (Live);;In Game
Tottenham;For;6;26/08/2023;Matchweek 3;Away;Dejan Kulusevski;Bournemouth;Y;0.33;0.97;Left Foot;4;63;1-0;Neto;Destiny Udogie;Destiny Udogie;Pass (Live);Son Heung-min;Pass (Live);;In Game
West Ham;For;5;26/08/2023;Matchweek 3;Away;James Ward-Prowse;Brighton;Y;0.64;0.97;Right Foot;3;19;0-0;Bart Verbruggen;;James Ward-Prowse;Shot;;;;In Game
West Ham;For;6;26/08/2023;Matchweek 3;Away;Jarrod Bowen;Brighton;Y;0.58;0.98;Left Foot;7;58;1-0;Bart Verbruggen;Saïd Benrahma;Saïd Benrahma;Pass (Live);Michail Antonio;Pass (Live);;In Game
West Ham;For;7;26/08/2023;Matchweek 3;Away;Michail Antonio;Brighton;Y;0.08;0.58;Right Foot;12;63;2-0;Bart Verbruggen;Jarrod Bowen;Michail Antonio;Take-On;Jarrod Bowen;Pass (Live);;In Game
West Ham;Against;3;26/08/2023;Matchweek 3;Away;Pascal Groß;Brighton;Y;0.02;0.25;Right Foot;25;81;0-3;Alphonse Areola;Joël Veltman;Pascal Groß;Take-On;Joël Veltman;Pass (Live);;In Game
Wolves;For;2;26/08/2023;Matchweek 3;Away;Sasa Kalajdzic;Everton;N;0.26;0.93;Other;6;87;0-0;Jordan Pickford;Pedro Neto;Pedro Neto;Pass (Live);Mario Lemina;Pass (Live);;In Game
Aston Villa;For;61;30/03/2024;Matchweek 30;Home;Moussa Diaby;Wolves;Y;0.07;0.13;Left Foot;21;36;0-0;José Sá;;Douglas Luiz;Pass (Dead);Douglas Luiz;Fouled;;Set Piece
Aston Villa;For;62;30/03/2024;Matchweek 30;Home;Ezri Konsa;Wolves;Y;0.07;0.46;Right Foot;10;65;1-0;José Sá;Moussa Diaby;Moussa Diaby;Pass (Live);Nicolò Zaniolo;Pass (Live);;In Game
Bournemouth;For;42;30/03/2024;Matchweek 30;Home;Dominic Solanke;Everton;Y;0.62;0.81;Head;4;64;0-0;Jordan Pickford;Lloyd Kelly;Lloyd Kelly;Pass (Live);Marcus Tavernier;Pass (Live);;In Game
Bournemouth;For;43;30/03/2024;Matchweek 30;Home;Séamus Coleman (OG);Everton;Y*;;;;;90+1;01-janv;Jordan Pickford;;;;;;Own Goal;In Game
Bournemouth;Against;53;30/03/2024;Matchweek 30;Home;Beto;Everton;N;0.43;0.93;Left Foot;6;87;0-1;Neto;;Dominic Calvert-Lewin;Pass (Live);Jarrad Branthwaite;Pass (Live);;In Game
Brentford;For;42;30/03/2024;Matchweek 30;Home;Kristoffer Ajer;Manchester Utd;Y;0.36;0.41;Right Foot;9;90+9;0-1;André Onana;Ivan Toney;Ivan Toney;Pass (Live);Ivan Toney;Take-On;;In Game
Brentford;Against;55;30/03/2024;Matchweek 30;Home;Mason Mount;Manchester Utd;N;0.11;0.87;Left Foot;11;90+6;0-0;Mark Flekken;Casemiro;Casemiro;Pass (Live);Casemiro;Pass (Live);;In Game
Brighton;For;51;31/03/2024;Matchweek 30;Away;Danny Welbeck;Liverpool;Y;0.05;0.44;Right Foot;17;2;0-0;Caoimhín Kelleher;;;;;;Volley;In Game
Brighton;Against;45;31/03/2024;Matchweek 30;Away;Luis Díaz;Liverpool;Y;0.46;0.37;Right Foot;6;27;0-1;Bart Verbruggen;;Mohamed Salah;Pass (Live);Wataru Endo;Pass (Live);Volley;In Game
Brighton;Against;46;31/03/2024;Matchweek 30;Away;Mohamed Salah;Liverpool;Y;0.44;0.84;Left Foot;10;65;01-janv;Bart Verbruggen;Alexis Mac Allister;Alexis Mac Allister;Pass (Live);Dominik Szoboszlai;Pass (Live);;In Game
